CODI_PROVINCIA,PROVINCIA,CODI_MUNICIPI,MUNICIPI,ESTACIO,CODI_CONTAMINANT,ANY,MES,DIA,H01,V01,H02,V02,H03,V03,H04,V04,H05,V05,H06,V06,H07,V07,H08,V08,H09,V09,H10,V10,H11,V11,H12,V12,H13,V13,H14,V14,H15,V15,H16,V16,H17,V17,H18,V18,H19,V19,H20,V20,H21,V21,H22,V22,H23,V23,H24,V24
08,Barcelona,019,Barcelona,043,10,2023,8,24,60,V,44,V,47,V,43,V,38,V,37,V,38,V,42,V,51,V,50,V,46,V,49,V,50,V,34,V,29,V,32,V,35,V,31,V,44,V,32,V,28,V,28,V,25,V,21,V
08,Barcelona,019,Barcelona,043,10,2023,8,25,23,V,25,V,21,V,21,V,22,V,20,V,21,V,26,V,29,V,35,V,30,V,29,V,25,V,24,V,24,V,24,V,27,V,37,V,24,V,28,V,29,V,26,V,23,V,21,V
08,Barcelona,019,Barcelona,043,10,2023,8,26,20,V,19,V,22,V,19,V,22,V,21,V,20,V,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,044,10,2023,8,23,33,V,41,V,46,V,44,V,40,V,47,V,56,V,65,V,66,V,87,V,81,V,64,V,55,V,46,V,44,V,50,V,54,V,41,V,32,V,31,V,34,V,33,V,49,V,51,V
08,Barcelona,019,Barcelona,044,10,2023,8,24,49,V,62,V,54,V,51,V,40,V,32,V,39,V,59,V,56,V,44,V,61,V,61,V,58,V,29,V,26,V,36,V,34,V,35,V,31,V,34,V,35,V,34,V,30,V,23,V
08,Barcelona,019,Barcelona,044,10,2023,8,25,15,V,15,V,21,V,16,V,22,V,26,V,28,V,39,V,35,V,33,V,25,V,31,V,36,V,29,V,27,V,32,V,31,V,25,V,31,V,27,V,22,V,32,V,27,V,25,V
08,Barcelona,019,Barcelona,044,10,2023,8,26,26,V,25,V,20,V,22,V,23,V,20,V,18,V,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,058,10,2023,8,23,35,V,37,V,25,V,20,V,22,V,27,V,28,V,26,V,26,V,30,V,32,V,44,V,41,V,35,V,34,V,35,V,34,V,31,V,32,V,28,V,33,V,23,V,26,V,25,V
08,Barcelona,019,Barcelona,058,10,2023,8,24,23,V,23,V,28,V,26,V,27,V,32,V,40,V,38,V,34,V,42,V,46,V,55,V,53,V,29,V,20,V,22,V,28,V,31,V,29,V,35,V,34,V,27,V,19,V,12,V
08,Barcelona,019,Barcelona,058,10,2023,8,25,17,V,13,V,20,V,22,V,22,V,19,V,25,V,26,V,24,V,19,V,21,V,25,V,21,V,20,V,19,V,21,V,20,V,20,V,21,V,19,V,32,V,25,V,22,V,19,V
08,Barcelona,019,Barcelona,058,10,2023,8,26,20,V,17,V,9,V,42,V,16,V,2,V,45,V,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,057,10,2023,8,23,33,V,32,V,35,V,28,V,21,V,21,V,23,V,27,V,60,V,142,V,79,V,51,V,30,V,25,V,25,V,24,V,19,V,20,V,19,V,24,V,35,V,39,V,40,V,34,V
08,Barcelona,019,Barcelona,057,10,2023,8,24,35,V,29,V,25,V,28,V,29,V,31,V,31,V,43,V,48,V,112,V,54,V,67,V,50,V,25,V,22,V,25,V,25,V,23,V,18,V,16,V,15,V,14,V,14,V,14,V
08,Barcelona,019,Barcelona,057,10,2023,8,25,17,V,17,V,14,V,14,V,15,V,16,V,15,V,16,V,18,V,21,V,19,V,19,V,16,V,14,V,17,V,15,V,15,V,14,V,14,V,14,V,15,V,14,V,13,V,15,V
08,Barcelona,019,Barcelona,057,10,2023,8,26,15,V,14,V,14,V,14,V,16,V,16,V,15,V,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,004,10,2023,8,23,35,V,38,V,41,V,28,V,18,V,22,V,24,V,43,V,50,V,66,V,56,V,62,V,55,V,45,V,47,V,29,V,29,V,47,V,76,V,78,V,89,V,65,V,47,V,53,V
08,Barcelona,019,Barcelona,004,10,2023,8,24,67,V,51,V,31,V,56,V,31,V,17,V,14,V,54,V,31,V,56,V,73,V,37,V,41,V,31,V,32,V,37,V,1,V,1,V,5,V,10,V,39,V,30,V,25,V,13,V
08,Barcelona,019,Barcelona,004,10,2023,8,25,12,V,17,V,20,V,17,V,11,V,26,V,24,V,113,V,38,V,32,V,45,V,41,V,33,V,33,V,37,V,37,V,29,V,30,V,46,V,36,V,33,V,31,V,31,V,26,V
08,Barcelona,019,Barcelona,004,10,2023,8,26,21,V,21,V,19,V,20,V,22,V,17,V,15,V,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,054,10,2023,8,23,43,V,45,V,30,V,22,V,21,V,25,V,31,V,41,V,34,V,31,V,34,V,53,V,52,V,38,V,37,V,39,V,42,V,39,V,35,V,42,V,51,V,46,V,49,V,44,V
08,Barcelona,019,Barcelona,054,10,2023,8,24,25,V,26,V,32,V,39,V,39,V,35,V,42,V,61,V,34,V,34,V,40,V,70,V,56,V,27,V,33,V,38,V,48,V,42,V,43,V,44,V,46,V,32,V,25,V,15,V
08,Barcelona,019,Barcelona,054,10,2023,8,25,21,V,16,V,18,V,23,V,24,V,21,V,23,V,41,V,51,V,26,V,27,V,30,V,30,V,26,V,21,V,32,V,34,V,30,V,35,V,26,V,32,V,31,V,23,V,20,V
08,Barcelona,019,Barcelona,054,10,2023,8,26,23,V,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,057,9,2023,8,23,14,V,13,V,13,V,13,V,11,V,11,V,12,V,12,V,16,V,22,V,17,V,14,V,12,V,10,V,11,V,10,V,9,V,9,V,8,V,10,V,12,V,14,V,16,V,14,V
08,Barcelona,019,Barcelona,057,9,2023,8,24,15,V,14,V,13,V,14,V,14,V,15,V,16,V,19,V,19,V,25,V,21,V,30,V,26,V,17,V,12,V,13,V,13,V,14,V,11,V,9,V,9,V,9,V,10,V,10,V
08,Barcelona,019,Barcelona,057,9,2023,8,25,10,V,10,V,10,V,10,V,10,V,11,V,11,V,11,V,10,V,10,V,10,V,9,V,9,V,8,V,10,V,9,V,9,V,8,V,8,V,9,V,10,V,10,V,10,V,10,V
08,Barcelona,019,Barcelona,057,9,2023,8,26,11,V,10,V,10,V,10,V,12,V,12,V,11,V,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,043,901,2023,8,23,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V
08,Barcelona,019,Barcelona,043,901,2023,8,24,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,46,V
08,Barcelona,019,Barcelona,043,901,2023,8,25,774,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V
08,Barcelona,019,Barcelona,043,901,2023,8,26,0,V,0,V,0,V,0,V,0,V,0,V,0,V,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,054,901,2023,8,23,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V
08,Barcelona,019,Barcelona,054,901,2023,8,24,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V
08,Barcelona,019,Barcelona,054,901,2023,8,25,819,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V
08,Barcelona,019,Barcelona,054,901,2023,8,26,0,V,0,V,0,V,0,V,0,V,0,V,0,V,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,043,1,2023,8,23,1,V,2,V,1,V,1,V,1,V,1,V,2,V,2,V,2,V,4,V,8,V,6,V,3,V,3,V,3,V,3,V,2,V,2,V,2,V,2,V,2,V,1,V,1,V,1,V
08,Barcelona,019,Barcelona,043,1,2023,8,24,1,V,1,V,2,V,2,V,1,V,2,V,2,V,2,V,3,V,2,V,2,V,1,V,1,V,3,V,2,V,2,V,2,V,2,V,1,V,1,V,1,V,1,V,1,V,1,V
08,Barcelona,019,Barcelona,043,1,2023,8,25,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V
08,Barcelona,019,Barcelona,043,1,2023,8,26,1,V,1,V,1,V,1,V,1,V,1,V,1,V,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,044,1,2023,8,23,1,V,1,V,2,V,2,V,2,V,2,V,2,V,2,V,3,V,3,V,2,V,2,V,2,V,2,V,2,V,2,V,3,V,2,V,2,V,2,V,2,V,2,V,2,V,2,V
08,Barcelona,019,Barcelona,044,1,2023,8,24,3,V,2,V,2,V,2,V,2,V,2,V,1,V,2,V,2,V,2,V,2,V,1,V,2,V,2,V,2,V,2,V,2,V,2,V,2,V,2,V,1,V,1,V,1,V,2,V
08,Barcelona,019,Barcelona,044,1,2023,8,25,2,V,2,V,2,V,1,V,1,V,1,V,1,V,1,V,1,V,2,V,1,V,1,V,1,V,1,V,1,V,2,V,2,V,2,V,1,V,1,V,2,V,1,V,1,V,2,V
08,Barcelona,019,Barcelona,044,1,2023,8,26,1,V,1,V,1,V,2,V,2,V,1,V,1,V,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,057,1,2023,8,23,2,V,2,V,2,V,1,V,2,V,1,V,1,V,2,V,2,V,2,V,2,V,3,V,3,V,3,V,4,V,4,V,3,V,3,V,3,V,2,V,2,V,2,V,2,V,2,V
08,Barcelona,019,Barcelona,057,1,2023,8,24,2,V,2,V,2,V,2,V,2,V,2,V,2,V,2,V,2,V,3,V,3,V,2,V,1,V,2,V,2,V,2,V,2,V,2,V,2,V,1,V,2,V,1,V,2,V,2,V
08,Barcelona,019,Barcelona,057,1,2023,8,25,2,V,2,V,1,V,1,V,2,V,1,V,1,V,1,V,1,V,1,V,2,V,2,V,2,V,2,V,2,V,2,V,2,V,2,V,2,V,1,V,1,V,1,V,1,V,1,V
08,Barcelona,019,Barcelona,057,1,2023,8,26,1,V,1,V,1,V,1,V,1,V,1,V,1,V,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,054,1,2023,8,23,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,2,V,3,V,3,V,2,V,3,V,2,V,2,V,2,V,2,V,2,V,2,V,1,V,1,V,1,V,1,V,2,V
08,Barcelona,019,Barcelona,054,1,2023,8,24,1,V,1,V,2,V,2,V,1,V,1,V,1,V,1,V,1,V,2,V,2,V,2,V,2,V,3,V,2,V,2,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V
08,Barcelona,019,Barcelona,054,1,2023,8,25,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V
08,Barcelona,019,Barcelona,054,1,2023,8,26,1,V,1,V,1,V,1,V,1,V,1,V,1,V,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,057,106,2023,8,23,0.01,V,0.01,V,0.01,V,0.01,V,0.01,V,0.01,V,0.01,V,0.01,V,0.01,V,0.01,V,0.01,V,0.01,V,0.05,V,0.27,V,0.15,V,0.07,V,0.01,V,0.05,V,0.2,V,0.32,V,0.38,V,0.46,V,0.48,V,0.49,V
08,Barcelona,019,Barcelona,057,106,2023,8,24,0.51,V,0.44,V,0.39,V,0.43,V,0.43,V,0.41,V,0.4,V,0.38,V,0.34,V,0.28,V,0.19,V,0.31,V,0.15,V,0.05,V,0.07,V,0.09,V,0.08,V,0.08,V,0.05,V,0.04,V,0.02,V,0.01,V,0.01,V,0.02,V
08,Barcelona,019,Barcelona,057,106,2023,8,25,0.03,V,0.05,V,0.04,V,0.05,V,0.08,V,0.06,V,0.04,V,0.08,V,0.04,V,0.03,V,0.04,V,0.07,V,0.06,V,0.09,V,0.09,V,0.07,V,0.07,V,0.08,V,0.06,V,0.06,V,0.07,V,0.07,V,0.05,V,0.06,V
08,Barcelona,019,Barcelona,057,106,2023,8,26,0.06,V,0.06,V,0.05,V,0.05,V,0.07,V,0.06,V,0.05,V,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,057,108,2023,8,23,19.39,V,11.12,V,12.88,V,17.95,V,7.99,V,15.83,V,27.15,V,59.34,V,72.68,V,60.21,V,47.78,V,63.75,V,25.97,V,13.95,V,20.23,V,14.61,V,10.14,V,9.79,V,10.15,V,12.77,V,19.84,V,42.08,V,55.97,V,55.94,V
08,Barcelona,019,Barcelona,057,108,2023,8,24,47,V,44.98,V,25.38,V,37.85,V,42.35,V,50.18,V,52.35,V,58.07,V,47.27,V,50.18,V,48.73,V,48.58,V,27.45,V,11.28,V,7.53,V,7.44,V,7.31,V,8.27,V,7.2,V,7.75,V,7.36,V,5.48,V,6.28,V,6.25,V
08,Barcelona,019,Barcelona,057,108,2023,8,25,7.24,V,6.42,V,5.63,V,9.7,V,21.22,V,20.15,V,7.61,V,12.54,V,6.04,V,6.71,V,7.61,V,9.36,V,8.27,V,7.87,V,5.93,V,6.23,V,7.1,V,5.17,V,5.25,V,6.49,V,5.81,V,5.02,V,4.04,V,4.44,V
08,Barcelona,019,Barcelona,057,108,2023,8,26,13.85,V,7.54,V,3.2,V,2.19,V,11.28,V,11.14,V,10.27,V,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,057,112,2023,8,23,21.58,V,13.27,V,15,V,19.93,V,9.95,V,18.27,V,29.69,V,65.87,V,101.52,V,76.37,V,56.33,V,77.84,V,30.88,V,16.97,V,23.85,V,17.64,V,13.11,V,12.24,V,12.28,V,14.83,V,21.82,V,44.22,V,58.43,V,58.38,V
08,Barcelona,019,Barcelona,057,112,2023,8,24,49.23,V,46.93,V,27.43,V,40.01,V,44.49,V,54.59,V,61.6,V,83.18,V,61.7,V,64.43,V,60.97,V,58.43,V,32.93,V,14.8,V,10.5,V,10.41,V,10.27,V,11.2,V,9.57,V,9.83,V,8.87,V,6.97,V,7.9,V,7.7,V
08,Barcelona,019,Barcelona,057,112,2023,8,25,8.86,V,8.08,V,7.4,V,11.56,V,23.05,V,22.08,V,9.34,V,14.14,V,7.8,V,9.09,V,10.14,V,12.91,V,11.58,V,11.38,V,8.69,V,9.28,V,10.23,V,7.83,V,7.44,V,8.7,V,7.59,V,6.63,V,5.75,V,6.3,V
08,Barcelona,019,Barcelona,057,112,2023,8,26,15.59,V,9.17,V,4.82,V,3.89,V,13.06,V,13.13,V,12.05,V,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,057,107,2023,8,23,1.43,V,1.4,V,1.39,V,1.3,V,1.28,V,1.59,V,1.66,V,4.27,V,18.87,V,10.58,V,5.6,V,9.22,V,3.22,V,1.97,V,2.37,V,1.99,V,1.94,V,1.6,V,1.4,V,1.35,V,1.3,V,1.39,V,1.6,V,1.6,V
08,Barcelona,019,Barcelona,057,107,2023,8,24,1.46,V,1.28,V,1.34,V,1.42,V,1.4,V,2.88,V,6.05,V,16.44,V,9.45,V,9.33,V,8.02,V,6.45,V,3.59,V,2.31,V,1.95,V,1.94,V,1.93,V,1.92,V,1.55,V,1.36,V,0.99,V,0.97,V,1.06,V,0.95,V
08,Barcelona,019,Barcelona,057,107,2023,8,25,1.06,V,1.09,V,1.16,V,1.22,V,1.2,V,1.26,V,1.14,V,1.05,V,1.15,V,1.56,V,1.66,V,2.32,V,2.16,V,2.29,V,1.81,V,2,V,2.05,V,1.75,V,1.44,V,1.45,V,1.17,V,1.05,V,1.12,V,1.22,V
08,Barcelona,019,Barcelona,057,107,2023,8,26,1.14,V,1.07,V,1.06,V,1.11,V,1.17,V,1.3,V,1.17,V,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,057,114,2023,8,23,59.8,V,72.6,V,67.4,V,62,V,79.6,V,65.8,V,45.8,V,19.4,V,16.3,V,43.8,V,79.5,V,74.1,V,111.9,V,120,V,136.8,V,137.4,V,124.5,V,114,V,108.7,V,108.4,V,98.7,V,66.8,V,30.2,V,20.1,V
08,Barcelona,019,Barcelona,057,114,2023,8,24,19.3,V,17.4,V,45.4,V,34.5,V,18.6,V,6,V,1.1,V,2.8,V,20.8,V,36.1,V,60.6,V,87.9,V,107.2,V,111.7,V,106.8,V,107,V,104.8,V,106.9,V,107.3,V,102.7,V,103.4,V,95.7,V,98,V,96.3,V
08,Barcelona,019,Barcelona,057,114,2023,8,25,89.3,V,77.8,V,73.6,V,63.9,V,55,V,55.8,V,71.2,V,60.2,V,87.9,V,91.5,V,87.9,V,87.1,V,91.7,V,97.5,V,101.1,V,96.7,V,99.8,V,99.6,V,96.8,V,95.8,V,83.5,V,89.8,V,85.6,V,76,V
08,Barcelona,019,Barcelona,057,114,2023,8,26,66.4,V,74.5,V,88.3,V,84.8,V,65.3,V,65.3,V,67,V,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,057,110,2023,8,23,32.6,V,31.6,V,35,V,28.2,V,20.7,V,20.6,V,22.3,V,27,V,59.5,V,142.2,V,79.4,V,51.1,V,30.4,V,25.2,V,24.5,V,24,V,19.3,V,19.5,V,18.9,V,23.7,V,34.4,V,38.8,V,39.7,V,34.2,V
08,Barcelona,019,Barcelona,057,110,2023,8,24,34.6,V,29.1,V,24.7,V,28,V,29,V,30.4,V,30.4,V,43.3,V,48,V,112.2,V,53.7,V,66.6,V,49.7,V,25.2,V,22.4,V,24.5,V,24.8,V,23.4,V,18.1,V,15.5,V,14.7,V,13.4,V,13.6,V,14.3,V
08,Barcelona,019,Barcelona,057,110,2023,8,25,16.4,V,16.5,V,13.9,V,14.2,V,14.8,V,15.9,V,15.3,V,15.9,V,17.5,V,21.2,V,18.8,V,19.4,V,16.2,V,14,V,17.3,V,15.3,V,14.7,V,13.6,V,13.9,V,14.3,V,15,V,13.4,V,13.4,V,14.8,V
08,Barcelona,019,Barcelona,057,110,2023,8,26,15,V,14.3,V,14.1,V,13.6,V,15.6,V,15.7,V,14.8,V,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,057,109,2023,8,23,13.9,V,13.2,V,13.2,V,12.7,V,10.5,V,10.7,V,11.6,V,12.1,V,15.9,V,22.4,V,17.1,V,13.8,V,11.9,V,10.2,V,10.9,V,10,V,8.8,V,8.4,V,8.4,V,9.5,V,11.5,V,13.4,V,15.5,V,13.6,V
08,Barcelona,019,Barcelona,057,109,2023,8,24,14.7,V,14.3,V,12.5,V,13.6,V,14.5,V,15.2,V,16,V,19.1,V,18.7,V,24.3,V,20.9,V,29.7,V,26.2,V,16.6,V,12.3,V,12.5,V,13,V,13.6,V,10.8,V,8.7,V,9,V,9.5,V,9.7,V,10,V
08,Barcelona,019,Barcelona,057,109,2023,8,25,10.2,V,9.7,V,9.7,V,9.9,V,10.4,V,11,V,10.8,V,11.1,V,10.2,V,9.9,V,9.5,V,9.2,V,8.4,V,7.9,V,9.8,V,8.8,V,8.7,V,8.2,V,8.4,V,8.8,V,9.4,V,9.7,V,9.6,V,10.3,V
08,Barcelona,019,Barcelona,057,109,2023,8,26,10.6,V,10.2,V,10.1,V,9.9,V,11.4,V,11.5,V,10.6,V,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,057,101,2023,8,23,1.51,V,1.33,V,1.42,V,1.2,V,1.42,V,1.24,V,1.36,V,1.4,V,1.62,V,1.87,V,1.79,V,2.76,V,3.07,V,2.87,V,3.81,V,4.2,V,3.49,V,3.07,V,2.52,V,2.12,V,1.79,V,1.62,V,1.61,V,1.39,V
08,Barcelona,019,Barcelona,057,101,2023,8,24,1.54,V,1.77,V,1.84,V,1.75,V,1.66,V,1.66,V,1.5,V,1.67,V,1.7,V,2.47,V,2.93,V,1.49,V,1.44,V,1.43,V,1.26,V,1.54,V,1.61,V,1.4,V,1.44,V,1.25,V,1.47,V,1.29,V,1.39,V,1.31,V
08,Barcelona,019,Barcelona,057,101,2023,8,25,1.45,V,1.35,V,1.18,V,1.26,V,1.36,V,1.23,V,1.2,V,1.13,V,1.26,V,1.01,V,1.44,V,1.47,V,1.49,V,1.6,V,1.52,V,1.36,V,1.72,V,1.46,V,1.32,V,1.17,V,1.22,V,1.33,V,1.03,V,0.92,V
08,Barcelona,019,Barcelona,057,101,2023,8,26,1,V,1.19,V,0.94,V,1.05,V,1.13,V,1.15,V,1.17,V,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,043,9,2023,8,23,20,V,18,V,20,V,20,V,19,V,18,V,19,V,22,V,22,V,31,V,30,V,26,V,19,V,19,V,21,V,20,V,18,V,14,V,13,V,14,V,14,V,16,V,18,V,23,V
08,Barcelona,019,Barcelona,043,9,2023,8,24,25,V,21,V,22,V,20,V,19,V,19,V,19,V,21,V,23,V,23,V,22,V,23,V,22,V,15,V,12,V,12,V,13,V,12,V,15,V,14,V,13,V,12,V,12,V,12,V
08,Barcelona,019,Barcelona,043,9,2023,8,25,13,V,16,V,12,V,12,V,13,V,13,V,13,V,13,V,13,V,14,V,14,V,13,V,13,V,12,V,12,V,12,V,12,V,14,V,12,V,13,V,13,V,13,V,13,V,13,V
08,Barcelona,019,Barcelona,043,9,2023,8,26,12,V,12,V,12,V,12,V,13,V,13,V,11,V,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
